"Site","Year","Month","Temp"
"Blelham Tarn (UK)",1990,2,5
"Blelham Tarn (UK)",1990,3,6.825
"Blelham Tarn (UK)",1990,4,8.925
"Blelham Tarn (UK)",1990,5,15.74
"Blelham Tarn (UK)",1990,6,16.125
"Blelham Tarn (UK)",1990,7,18.08
"Blelham Tarn (UK)",1990,8,18.2
"Blelham Tarn (UK)",1990,9,14.975
"Blelham Tarn (UK)",1990,10,10.86
"Blelham Tarn (UK)",1990,11,7.9
"Blelham Tarn (UK)",1990,12,4.2
"Blelham Tarn (UK)",1991,1,4.3
"Blelham Tarn (UK)",1991,2,4.8
"Blelham Tarn (UK)",1991,3,6.025
"Blelham Tarn (UK)",1991,4,7.9
"Blelham Tarn (UK)",1991,5,12.9
"Blelham Tarn (UK)",1991,6,14.875
"Blelham Tarn (UK)",1991,7,18.34
"Blelham Tarn (UK)",1991,8,17.55
"Blelham Tarn (UK)",1991,9,16.575
"Blelham Tarn (UK)",1991,10,10.0333333333333
"Blelham Tarn (UK)",1991,11,6.45
"Blelham Tarn (UK)",1991,12,4.5
"Blelham Tarn (UK)",1992,1,5.25
"Blelham Tarn (UK)",1992,2,4.35
"Blelham Tarn (UK)",1992,3,5.5
"Blelham Tarn (UK)",1992,4,7.5
"Blelham Tarn (UK)",1992,5,13.15
"Blelham Tarn (UK)",1992,6,19.7333333333333
"Blelham Tarn (UK)",1992,7,17.15
"Blelham Tarn (UK)",1992,8,15.85
"Blelham Tarn (UK)",1992,9,12.1
"Blelham Tarn (UK)",1992,10,10.6
"Blelham Tarn (UK)",1992,11,6.65
"Blelham Tarn (UK)",1992,12,6.15
"Blelham Tarn (UK)",1993,1,3.7
"Blelham Tarn (UK)",1993,2,5.5
"Blelham Tarn (UK)",1993,3,5.15
"Blelham Tarn (UK)",1993,4,8.25
"Blelham Tarn (UK)",1993,5,12.3
"Blelham Tarn (UK)",1993,6,16.5333333333333
"Blelham Tarn (UK)",1993,7,16.15
"Blelham Tarn (UK)",1993,8,16.05
"Blelham Tarn (UK)",1993,9,14.2
"Blelham Tarn (UK)",1993,10,10.3
"Blelham Tarn (UK)",1993,11,5.7
