Region,Salmon Area Name,Year,Species Code,Number of Fish (estimated),Estimated Exvessel Value (Nominal),Landed Weight (lbs)
AYK,Norton Sound,1985,Coho,21927,84597.5,169195
AYK,Norton Sound,1985,Pink,3647,2280.63,11458
AYK,Norton Sound,1985,Sockeye,166,750.75,1155
AYK,Norton Sound,1986,Chinook,6395,114918.64,133161
AYK,Norton Sound,1986,Chum,146917,270158.85,1011824
AYK,Norton Sound,1986,Coho,35624,140220.46,245568
AYK,Norton Sound,1986,Pink,,,
AYK,Norton Sound,1986,Sockeye,233,1156.54,1765
AYK,Norton Sound,1987,Chinook,7080,159184.4,141494
AYK,Norton Sound,1987,Chum,102501,250319.64,731930
AYK,Norton Sound,1987,Coho,24311,105616.68,177806
AYK,Norton Sound,1987,Pink,2260,1318.17,6691
AYK,Norton Sound,1987,Sockeye,207,1455.56,1409
AYK,Norton Sound,1988,Chinook,4096,85680.84,67148
AYK,Norton Sound,1988,Chum,107967,308400.73,767168
AYK,Norton Sound,1988,Coho,37247,318827.29,280658
AYK,Norton Sound,1988,Pink,74604,43805.23,226966
AYK,Norton Sound,1988,Sockeye,1252,8597.33,8588
AYK,Norton Sound,1989,Chinook,5707,83234.27,104829
AYK,Norton Sound,1989,Chum,,,
AYK,Norton Sound,1989,Coho,44091,165296.69,336652
AYK,Norton Sound,1989,Pink,,,
AYK,Norton Sound,1989,Sockeye,,,
AYK,Norton Sound,1990,Chinook,8895,154907.93,168745
AYK,Norton Sound,1990,Chum,65123,104125.52,482060
AYK,Norton Sound,1990,Coho,56712,211745.43,426906
AYK,Norton Sound,1990,Sockeye,434,2913.09,3226
AYK,Norton Sound,1991,Chinook,6068,81085.92,107541
AYK,Norton Sound,1991,Chum,86848,149876.59,597112
AYK,Norton Sound,1991,Coho,63615,181116.99,469215
AYK,Norton Sound,1991,Sockeye,203,616.98,1469
AYK,Norton Sound,1992,Chinook,,,
AYK,Norton Sound,1992,Chum,83394,138119.9,595345
AYK,Norton Sound,1992,Coho,105453,282359.54,820468
AYK,Norton Sound,1992,Pink,,,
AYK,Norton Sound,1992,Sockeye,,,
AYK,Norton Sound,1993,Chinook,8972,109385.82,151504
AYK,Norton Sound,1993,Chum,54448,90122.15,353393
AYK,Norton Sound,1993,Coho,43291,101608.55,287841
AYK,Norton Sound,1993,Pink,,,
AYK,Norton Sound,1993,Sockeye,284,1267.8,2113
AYK,Norton Sound,1994,Chinook,5285,104106.33,98492
AYK,Norton Sound,1994,Chum,18290,28802.66,122540
AYK,Norton Sound,1994,Coho,102152,402450.4,770978
AYK,Norton Sound,1994,Pink,,,
AYK,Norton Sound,1994,Sockeye,80,222.61,525
AYK,Norton Sound,1995,Chinook,8860,115698.31,174771
AYK,Norton Sound,1995,Chum,42898,51409.88,290445
AYK,Norton Sound,1995,Coho,47862,152806.06,356190
AYK,Norton Sound,1995,Pink,,,
AYK,Norton Sound,1995,Sockeye,128,459.08,920
AYK,Norton Sound,1996,Chinook,4999,48455.08,96141
AYK,Norton Sound,1996,Chum,10833,4387.37,86009
AYK,Norton Sound,1996,Coho,70458,169715.47,593410
AYK,Norton Sound,1996,Pink,,,
AYK,Norton Sound,1996,Sockeye,,,
AYK,Norton Sound,1997,Chinook,12573,182347.53,224842
AYK,Norton Sound,1997,Chum,34103,31878.92,253006
AYK,Norton Sound,1997,Coho,32284,109739.19,234986
AYK,Norton Sound,1997,Pink,,,
AYK,Norton Sound,1997,Sockeye,161,794.03,1095
AYK,Norton Sound,1998,Chinook,7429,85646.77,127831
AYK,Norton Sound,1998,Chum,16324,11735.57,106687
AYK,Norton Sound,1998,Coho,29623,67252.18,232705
AYK,Norton Sound,1998,Pink,,,
